"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","Super Mario 64|Super_Mario_64|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%2064-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","6480","2543640","374","2739","1019","9.435185","48982","453.537037"
"2","Final Fantasy IX|Final_Fantasy_IX|https://static-cdn.jtvnw.net/ttv-boxart/Final%20Fantasy%20IX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","6090","2505840","361","950","611","6.019704","43648","430.029556"
"3","Super Mario Galaxy|Super_Mario_Galaxy|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Galaxy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","5610","2573700","417","1633","604","6.459893","35112","375.529411"
"4","Super Mario Sunshine|Super_Mario_Sunshine|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Sunshine-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","5310","2756655","497","1172","613","6.926553","39180","442.711864"
"5","Chrono Cross|Chrono_Cross|https://static-cdn.jtvnw.net/ttv-boxart/Chrono%20Cross-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4725","1686810","357","722","247","3.136507","27572","350.120634"
"6","Donkey Kong Country 2: Diddy's Kong Quest|Donkey_Kong_Country_2_Diddys_Kong_Quest|https://static-cdn.jtvnw.net/ttv-boxart/./Donkey%20Kong%20Country%202:%20Diddy%27s%20Kong%20Quest-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4395","1306035","287","907","269","3.672354","25616","349.706484"
"7","Super Mario Galaxy 2|Super_Mario_Galaxy_2|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Galaxy%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4395","3461535","580","2119","961","13.119453","152121","2076.737201"
"8","Super Mario All-Stars|Super_Mario_All-Stars|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20All-Stars-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1605","747150","451","710","176","6.579439","10688","399.551401"
"9","Talk Shows & Podcasts|Gaming_Talk_Shows|https://static-cdn.jtvnw.net/ttv-boxart/Talk%20Shows%20&%20Podcasts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1350","625230","420","972","82","3.644444","8029","356.844444"
"10","The Legend of Zelda: Ocarina of Time|The_Legend_of_Zelda_Ocarina_of_Time|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Ocarina%20of%20Time-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1335","935670","687","1103","533","23.955056","32186","1446.561797"
"11","Mega Man 2|Mega_Man_2|https://static-cdn.jtvnw.net/ttv-boxart/Mega%20Man%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1320","215535","143","482","43","1.954545","1064","48.363636"
"12","The Legend of Zelda: Majora's Mask|The_Legend_of_Zelda_Majoras_Mask|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Majora%27s%20Mask-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1290","470565","253","957","102","4.744186","4808","223.627906"
"13","The Legend of Zelda: Twilight Princess|The_Legend_of_Zelda_Twilight_Princess|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Twilight%20Princess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1245","182490","138","215","41","1.975903","3644","175.614457"
"14","Kingdom Hearts HD 1.5 ReMIX|Kingdom_Hearts_HD_1.5_ReMIX|https://static-cdn.jtvnw.net/ttv-boxart/Kingdom%20Hearts%20HD%201.5%20ReMIX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1185","441315","378","1135","221","11.189873","7064","357.670886"
"15","Donkey Kong Country: Tropical Freeze|Donkey_Kong_Country_Tropical_Freeze|https://static-cdn.jtvnw.net/ttv-boxart/./Donkey%20Kong%20Country:%20Tropical%20Freeze-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1170","339900","239","762","39","2","6537","335.230769"
"16","Mario Party 3|Mario_Party_3|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Party%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1050","458010","435","564","99","5.657142","5528","315.885714"
"17","Donkey Kong Country|Donkey_Kong_Country|https://static-cdn.jtvnw.net/ttv-boxart/Donkey%20Kong%20Country-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","975","396615","339","514","68","4.184615","5341","328.676923"
"18","The Legend of Zelda: Link's Awakening|The_Legend_of_Zelda_Links_Awakening|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Link%27s%20Awakening-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","900","130815","146","221","8","0.533333","495","33"
"19","The Legend of Zelda: Twilight Princess HD|The_Legend_of_Zelda_Twilight_Princess_HD|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Twilight%20Princess%20HD-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","885","336540","385","713","97","6.576271","4163","282.237288"
"20","The Legend of Zelda: Link's Awakening DX|The_Legend_of_Zelda_Links_Awakening_DX|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Link%27s%20Awakening%20DX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","810","275895","399","869","64","4.74074","38776","2872.296296"
"21","Mega Man X|Mega_Man_X|https://static-cdn.jtvnw.net/ttv-boxart/Mega%20Man%20X-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","750","161850","193","516","36","2.88","3653","292.24"
"22","Super Mario Maker|Super_Mario_Maker|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Maker-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","750","388575","410","738","254","20.32","4527","362.16"
"23","Rayman Legends|Rayman_Legends|https://static-cdn.jtvnw.net/ttv-boxart/Rayman%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","750","188595","229","449","57","4.56","9269","741.52"
"24","Super Mario RPG: Legend of the Seven Stars|Super_Mario_RPG_Legend_of_the_Seven_Stars|https://static-cdn.jtvnw.net/ttv-boxart/./Super%20Mario%20RPG:%20Legend%20of%20the%20Seven%20Stars-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","720","241080","378","668","71","5.916666","3907","325.583333"
"25","Ori and the Blind Forest|Ori_and_the_Blind_Forest|https://static-cdn.jtvnw.net/ttv-boxart/Ori%20and%20the%20Blind%20Forest-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","690","126210","148","353","4","0.347826","2571","223.565217"
"26","Pokémon Red/Blue|Pokemon_Red_Blue|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Red/Blue-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","645","190080","245","456","33","3.069767","4065","378.139534"
"27","The Legend of Zelda: Oracle of Seasons|The_Legend_of_Zelda_Oracle_of_Seasons|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Oracle%20of%20Seasons-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","615","282090","458","960","140","13.658536","55731","5437.170731"
"28","Groovy Bunch of Games|Groovy_Bunch_of_Games|https://static-cdn.jtvnw.net/ttv-boxart/Groovy%20Bunch%20of%20Games-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","600","118335","112","629","9","0.9","3532","353.2"
