"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"39","Talk Shows & Podcasts|Gaming_Talk_Shows|https://static-cdn.jtvnw.net/ttv-boxart/Talk%20Shows%20&%20Podcasts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","720","469155","586","1116","65","5.416666","7666","638.833333"
"40","Mario Party|Mario_Party|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Party-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","690","668430","968","1221","162","14.086956","6154","535.130434"
"41","Donkey Kong Country|Donkey_Kong_Country|https://static-cdn.jtvnw.net/ttv-boxart/Donkey%20Kong%20Country-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","675","764205","1132","1542","82","7.288888","9883","878.488888"
"42","Picross S|Picross_S|https://static-cdn.jtvnw.net/ttv-boxart/Picross%20S-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","630","353055","563","820","10","0.95238","5582","531.619047"
"43","Banjo-Kazooie|Banjo-Kazooie|https://static-cdn.jtvnw.net/ttv-boxart/Banjo-Kazooie-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","615","837690","1362","1600","75","7.317073","9757","951.902439"
"44","RuneScape|RuneScape|https://static-cdn.jtvnw.net/ttv-boxart/RuneScape-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","600","235335","378","593","-11","-1.1","3602","360.2"
"45","Cuphead|Cuphead|https://static-cdn.jtvnw.net/ttv-boxart/Cuphead-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","585","550650","934","1359","61","6.25641","7449","764"
"46","The Legend of Zelda: Majora's Mask|The_Legend_of_Zelda_Majoras_Mask|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Majora%27s%20Mask-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","570","589110","1033","1215","24","2.526315","6210","653.68421"
"47","Final Fantasy VII|Final_Fantasy_VII|https://static-cdn.jtvnw.net/ttv-boxart/Final%20Fantasy%20VII-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","525","503490","974","1294","27","3.085714","11324","1294.171428"
"48","Pikmin|Pikmin|https://static-cdn.jtvnw.net/ttv-boxart/Pikmin-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","525","634710","1208","1399","32","3.657142","7234","826.742857"
"49","Monster Hunter 3 Ultimate|Monster_Hunter_3_Ultimate|https://static-cdn.jtvnw.net/ttv-boxart/Monster%20Hunter%203%20Ultimate-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","510","365370","706","893","-16","-1.882352","5378","632.705882"
"50","Mafia|Mafia|https://static-cdn.jtvnw.net/ttv-boxart/Mafia-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","495","207930","419","563","66","8","2841","344.363636"
