"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","The Legend of Zelda: Ocarina of Time|The_Legend_of_Zelda_Ocarina_of_Time|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Ocarina%20of%20Time-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","39375","28374780","674","1879","3788","5.77219","370651","564.801523"
"2","Super Mario Odyssey|Super_Mario_Switch_working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Odyssey-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","18450","10422960","575","7484","2133","6.936585","426446","1386.81626"
"3","Donkey Kong Country: Tropical Freeze|Donkey_Kong_Country_Tropical_Freeze|https://static-cdn.jtvnw.net/ttv-boxart/./Donkey%20Kong%20Country:%20Tropical%20Freeze-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","10020","5593050","504","1726","570","3.413173","92083","551.395209"
"4","Celeste|Celeste|https://static-cdn.jtvnw.net/ttv-boxart/Celeste-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","6615","3041145","436","1585","597","5.414965","53122","481.832199"
"5","Yu-Gi-Oh! Forbidden Memories|Yu-Gi-Oh_Forbidden_Memories|https://static-cdn.jtvnw.net/ttv-boxart/Yu-Gi-Oh%21%20Forbidden%20Memories-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4785","3562800","716","1329","376","4.714733","43037","539.648902"
"6","Donkey Kong 64|Donkey_Kong_64|https://static-cdn.jtvnw.net/ttv-boxart/Donkey%20Kong%2064-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4275","3149310","690","1333","344","4.82807","38688","542.989473"
"7","Super Mario 64|Super_Mario_64|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%2064-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4215","3423105","711","2715","445","6.334519","58875","838.078291"
"8","Crash Bandicoot N. Sane Trilogy|Crash_Bandicoot_N._Sane_Trilogy|https://static-cdn.jtvnw.net/ttv-boxart/Crash%20Bandicoot%20N.%20Sane%20Trilogy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2685","1976400","519","1375","256","5.72067","25240","564.022346"
"9","The Legend of Zelda: Ocarina of Time / Master Quest|The_Legend_of_Zelda_Ocarina_of_Time__Master_Quest|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Ocarina%20of%20Time%20/%20Master%20Quest-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1545","1533240","877","1784","114","4.427184","16128","626.330097"
"10","Pokémon: Let's Go, Pikachu!|Pokemon_Lets_Go_Pikachu_Eevee_|https://static-cdn.jtvnw.net/ttv-boxart/./Pok%C3%A9mon:%20Let%27s%20Go,%20Pikachu%21-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1290","612330","438","1003","67","3.116279","11762","547.069767"
"11","Cuphead|Cuphead|https://static-cdn.jtvnw.net/ttv-boxart/Cuphead-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1260","522105","414","707","62","2.95238","9891","471"
"12","Donkey Kong Land III|Donkey_Kong_Land_III|https://static-cdn.jtvnw.net/ttv-boxart/Donkey%20Kong%20Land%20III-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1215","531180","443","884","31","1.530864","9235","456.049382"
"13","Donkey Kong Country|Donkey_Kong_Country|https://static-cdn.jtvnw.net/ttv-boxart/Donkey%20Kong%20Country-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1125","627480","454","1022","59","3.146666","8479","452.213333"
"14","Mega Man|Mega_Man|https://static-cdn.jtvnw.net/ttv-boxart/Mega%20Man-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1080","904320","829","1004","94","5.222222","8762","486.777777"
"15","Kingdom Hearts HD 1.5 + 2.5 ReMIX|Kingdom_Hearts_HD_I.5_plus_II.5_Remix|https://static-cdn.jtvnw.net/ttv-boxart/Kingdom%20Hearts%20HD%201.5%20+%202.5%20ReMIX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1065","653310","602","1078","105","5.915492","10521","592.732394"
"16","Super Mario RPG: Legend of the Seven Stars|Super_Mario_RPG_Legend_of_the_Seven_Stars|https://static-cdn.jtvnw.net/ttv-boxart/./Super%20Mario%20RPG:%20Legend%20of%20the%20Seven%20Stars-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1020","1354875","1151","3476","245","14.411764","78930","4642.941176"
"17","Mario Party|Mario_Party|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Party-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1020","687615","677","2516","290","17.058823","41735","2455"
"18","The Legend of Zelda: A Link to the Past|The_Legend_of_Zelda_A_Link_to_the_Past|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20A%20Link%20to%20the%20Past-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1005","625230","610","1243","70","4.179104","9880","589.850746"
"19","Battletoads|Battletoads|https://static-cdn.jtvnw.net/ttv-boxart/Battletoads-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","900","1172460","1136","2071","175","11.666666","13823","921.533333"
"20","Super Mario 3D World|Super_Mario_3D_World|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%203D%20World-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","900","663645","627","1102","155","10.333333","8301","553.4"
"21","Spyro the Dragon|Spyro_the_Dragon|https://static-cdn.jtvnw.net/ttv-boxart/Spyro%20the%20Dragon-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","870","858225","983","6745","247","17.034482","93490","6447.586206"
