"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","RuneScape|RuneScape|https://static-cdn.jtvnw.net/ttv-boxart/RuneScape-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","26310","18594465","696","1894","1638","3.735461","269689","615.026225"
"2","Overwatch|Overwatch|https://static-cdn.jtvnw.net/ttv-boxart/Overwatch-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","21075","9644400","454","1487","536","1.525978","222593","633.716725"
"3","Super Mario Maker|Super_Mario_Maker|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Maker-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","18165","24294060","1288","4805","5208","17.202312","491140","1622.262592"
"4","Super Mario 64|Super_Mario_64|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%2064-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","9345","7340310","751","1653","921","5.913322","140380","901.316211"
"5","Risk II|Risk_II|https://static-cdn.jtvnw.net/ttv-boxart/Risk%20II-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","5775","4095600","709","1248","49","0.50909","55564","577.288311"
"6","Super Mario RPG: Legend of the Seven Stars|Super_Mario_RPG_Legend_of_the_Seven_Stars|https://static-cdn.jtvnw.net/ttv-boxart/./Super%20Mario%20RPG:%20Legend%20of%20the%20Seven%20Stars-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","5670","4720740","716","2264","376","3.978835","115820","1225.608465"
"7","Ace Attorney Investigations: Miles Edgeworth|Ace_Attorney_Investigations_Miles_Edgeworth|https://static-cdn.jtvnw.net/ttv-boxart/./Ace%20Attorney%20Investigations:%20Miles%20Edgeworth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3795","2142975","556","771","-87","-1.375494","9339","147.652173"
"8","Phoenix Wright: Ace Attorney − Spirit of Justice|Phoenix_Wright_Ace_Attorney__Spirit_of_Justice|https://static-cdn.jtvnw.net/ttv-boxart/./Phoenix%20Wright:%20Ace%20Attorney%20%E2%88%92%20Spirit%20of%20Justice-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3075","2126580","686","915","18","0.351219","31151","607.82439"
"9","Super Mario Galaxy|Super_Mario_Galaxy|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Galaxy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2895","2815830","1022","2416","302","6.259067","22927","475.170984"
"10","Mario Party 3|Mario_Party_3|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Party%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2865","3703395","1093","1887","209","4.376963","32217","674.70157"
