"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","The Legend of Zelda: Ocarina of Time|The_Legend_of_Zelda_Ocarina_of_Time|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Ocarina%20of%20Time-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","37230","24384075","601","2512","3449","5.55842","351676","566.762288"
"2","Dark Souls|Dark_Souls|https://static-cdn.jtvnw.net/ttv-boxart/Dark%20Souls-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","7605","5670555","677","5671","746","5.885601","134810","1063.589743"
"3","Yu-Gi-Oh! Forbidden Memories|Yu-Gi-Oh_Forbidden_Memories|https://static-cdn.jtvnw.net/ttv-boxart/Yu-Gi-Oh%21%20Forbidden%20Memories-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","7560","5804025","759","2130","662","5.253968","65673","521.214285"
"4","Super Mario Odyssey|Super_Mario_Switch_working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Odyssey-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","6825","3401400","467","2042","532","4.676923","51563","453.301098"
"5","The Legend of Zelda: A Link to the Past|The_Legend_of_Zelda_A_Link_to_the_Past|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20A%20Link%20to%20the%20Past-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4590","2549220","511","1018","206","2.69281","43525","568.954248"
"6","Phoenix Wright: Ace Attorney Trilogy HD|Phoenix_Wright_Ace_Attorney_Trilogy_HD|https://static-cdn.jtvnw.net/ttv-boxart/./Phoenix%20Wright:%20Ace%20Attorney%20Trilogy%20HD-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4155","2001465","487","831","65","0.938628","21313","307.768953"
"7","Spyro Reignited Trilogy|Spyro_Reignited_Trilogy|https://static-cdn.jtvnw.net/ttv-boxart/Spyro%20Reignited%20Trilogy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3585","2918925","730","4342","226","3.782426","72070","1206.192468"
"8","Kingdom Hearts III|Kingdom_Hearts_III|https://static-cdn.jtvnw.net/ttv-boxart/Kingdom%20Hearts%20III-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2955","2064915","684","1287","456","9.258883","35749","725.86802"
"9","Phoenix Wright: Ace Attorney|Phoenix_Wright_Ace_Attorney|https://static-cdn.jtvnw.net/ttv-boxart/./Phoenix%20Wright:%20Ace%20Attorney-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2265","2117550","906","1720","284","7.523178","30702","813.298013"
"10","Crash Bandicoot N. Sane Trilogy|Crash_Bandicoot_N._Sane_Trilogy|https://static-cdn.jtvnw.net/ttv-boxart/Crash%20Bandicoot%20N.%20Sane%20Trilogy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1980","1575195","703","1698","120","3.636363","19742","598.242424"
"11","Super Mario Maker 2|Super_Mario_Maker_2|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Maker%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1875","1380270","710","2578","771","24.672","16867","539.744"
"12","The Legend of Zelda: Majora's Mask|The_Legend_of_Zelda_Majoras_Mask|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Majora%27s%20Mask-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1755","1626480","876","1840","150","5.128205","18640","637.264957"
"13","Super Mario 64|Super_Mario_64|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%2064-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1680","1217745","644","1370","155","5.535714","21121","754.321428"
"14","Dark Souls II: Scholar of the First Sin|Dark_Souls_II_Scholar_of_the_First_Sin|https://static-cdn.jtvnw.net/ttv-boxart/./Dark%20Souls%20II:%20Scholar%20of%20the%20First%20Sin-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1560","711315","454","616","24","0.923076","9097","349.884615"
"15","Hollow Knight|Hollow_Knight|https://static-cdn.jtvnw.net/ttv-boxart/Hollow%20Knight-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1530","652275","404","606","36","1.411764","8644","338.980392"
"16","Banjo-Tooie|Banjo-Tooie|https://static-cdn.jtvnw.net/ttv-boxart/Banjo-Tooie-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1485","1258260","789","1194","63","2.545454","20136","813.575757"
"17","Dark Souls III|Dark_Souls_III|https://static-cdn.jtvnw.net/ttv-boxart/Dark%20Souls%20III-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1380","704565","505","659","36","1.565217","7380","320.869565"
"18","Professor Layton and the Curious Village|Professor_Layton_and_the_Curious_Village|https://static-cdn.jtvnw.net/ttv-boxart/Professor%20Layton%20and%20the%20Curious%20Village-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1290","834795","648","1447","32","1.488372","7170","333.488372"
"19","Zero Escape: Nine Hours, Nine Persons, Nine Doors|999_9_Hours_9_Persons_9_Doors|https://static-cdn.jtvnw.net/ttv-boxart/./Zero%20Escape:%20Nine%20Hours,%20Nine%20Persons,%20Nine%20Doors-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1245","761865","600","745","31","1.493975","9904","477.301204"
"20","Final Fantasy IX|Final_Fantasy_IX|https://static-cdn.jtvnw.net/ttv-boxart/Final%20Fantasy%20IX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1230","686820","455","812","94","4.585365","7307","356.439024"
"21","Donkey Kong Country 2: Diddy's Kong Quest|Donkey_Kong_Country_2_Diddys_Kong_Quest|https://static-cdn.jtvnw.net/ttv-boxart/./Donkey%20Kong%20Country%202:%20Diddy%27s%20Kong%20Quest-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1215","609855","438","852","63","3.111111","8475","418.518518"
"22","Persona 5|Persona_5|https://static-cdn.jtvnw.net/ttv-boxart/Persona%205-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1185","623805","545","757","42","2.126582","6524","330.329113"
"23","Battletoads|Battletoads|https://static-cdn.jtvnw.net/ttv-boxart/Battletoads-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1170","642195","556","1824","43","2.205128","8408","431.179487"
"24","Resident Evil 2|Resident_Evil_2_Remake_working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1155","469245","359","824","75","3.896103","11703","607.948051"
"25","Mario & Luigi: Superstar Saga|Mario_and_Luigi_Superstar_Saga|https://static-cdn.jtvnw.net/ttv-boxart/./Mario%20&%20Luigi:%20Superstar%20Saga-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1080","708510","656","853","55","3.055555","7341","407.833333"
"26","Donkey Kong 64|Donkey_Kong_64|https://static-cdn.jtvnw.net/ttv-boxart/Donkey%20Kong%2064-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1005","1591440","1299","2045","179","10.686567","15279","912.179104"
"27","Super Mario RPG: Legend of the Seven Stars|Super_Mario_RPG_Legend_of_the_Seven_Stars|https://static-cdn.jtvnw.net/ttv-boxart/./Super%20Mario%20RPG:%20Legend%20of%20the%20Seven%20Stars-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","930","1143990","1173","1994","110","7.096774","16647","1074"
