"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","Chrono Cross|Chrono_Cross|https://static-cdn.jtvnw.net/ttv-boxart/Chrono%20Cross-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3060","824565","263","507","179","3.509803","4281","83.941176"
"2","Donkey Kong Country|Donkey_Kong_Country|https://static-cdn.jtvnw.net/ttv-boxart/Donkey%20Kong%20Country-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","525","112080","235","303","8","0.914285","510","58.285714"
"3","Donkey Kong Country 2: Diddy's Kong Quest|Donkey_Kong_Country_2_Diddys_Kong_Quest|https://static-cdn.jtvnw.net/ttv-boxart/./Donkey%20Kong%20Country%202:%20Diddy%27s%20Kong%20Quest-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","60","9660","161","223","0","0","21","21"
"4","Donkey Kong Country: Tropical Freeze|Donkey_Kong_Country_Tropical_Freeze|https://static-cdn.jtvnw.net/ttv-boxart/./Donkey%20Kong%20Country:%20Tropical%20Freeze-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","30","1800","60","83","0","0","0","0"
"5","Freedom Planet|Freedom_Planet|https://static-cdn.jtvnw.net/ttv-boxart/Freedom%20Planet-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","270","36375","138","232","2","0.444444","247","54.888888"
"6","Goof Troop|Goof_Troop|https://static-cdn.jtvnw.net/ttv-boxart/Goof%20Troop-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","180","31950","180","198","-1","-0.333333","137","45.666666"
"7","Groovy Bunch of Games|Groovy_Bunch_of_Games|https://static-cdn.jtvnw.net/ttv-boxart/Groovy%20Bunch%20of%20Games-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","360","117600","323","402","11","1.833333","386","64.333333"
"8","Kingdom Hearts HD 1.5 ReMIX|Kingdom_Hearts_HD_1.5_ReMIX|https://static-cdn.jtvnw.net/ttv-boxart/Kingdom%20Hearts%20HD%201.5%20ReMIX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3525","972000","264","1665","202","3.438297","4299","73.174468"
"9","Kingdom Hearts II|Kingdom_Hearts_II|https://static-cdn.jtvnw.net/ttv-boxart/Kingdom%20Hearts%20II-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","270","46650","172","214","12","2.666666","240","53.333333"
"10","Mega Man 8|Mega_Man_8_Anniversary_Edition|https://static-cdn.jtvnw.net/ttv-boxart/Mega%20Man%208-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","285","63075","221","264","5","1.052631","294","61.894736"
"11","Mega Man Anniversary Collection|Mega_Man_Anniversary_Collection|https://static-cdn.jtvnw.net/ttv-boxart/Mega%20Man%20Anniversary%20Collection-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","225","30885","137","162","7","1.866666","143","38.133333"
"12","Mega Man Legacy Collection|Mega_Man_Legacy_Collection|https://static-cdn.jtvnw.net/ttv-boxart/Mega%20Man%20Legacy%20Collection-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1260","267000","212","407","33","1.571428","1286","61.238095"
"13","Mystery Of Time And Space|Mystery_Of_Time_And_Space|https://static-cdn.jtvnw.net/ttv-boxart/Mystery%20Of%20Time%20And%20Space-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","330","18105","65","109","2","0.363636","302","54.90909"
"14","Rayman|Rayman|https://static-cdn.jtvnw.net/ttv-boxart/Rayman-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","555","99825","156","298","7","0.756756","690","74.594594"
"15","Rayman Legends|Rayman_Legends|https://static-cdn.jtvnw.net/ttv-boxart/Rayman%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","5010","1117680","213","1906","409","4.898203","5385","64.491017"
"16","Shovel Knight|Shovel_Knight|https://static-cdn.jtvnw.net/ttv-boxart/Shovel%20Knight-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","45","5910","131","145","2","2.666666","58","77.333333"
"17","Speedy Gonzales in Los Gatos Banditos|Speedy_Gonzales_in_Los_Gatos_Bandidos|https://static-cdn.jtvnw.net/ttv-boxart/Speedy%20Gonzales%20in%20Los%20Gatos%20Banditos-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","120","18675","155","167","-3","-1.5","77","38.5"
"18","Super Mario 64|Super_Mario_64|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%2064-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","90","15345","170","207","1","0.666666","63","42"
"19","Super Mario Maker|Super_Mario_Maker|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Maker-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1905","642180","297","1001","225","7.086614","2770","87.244094"
"20","Super Mario World 2: Yoshi's Island|Super_Mario_World_2_Yoshis_Island|https://static-cdn.jtvnw.net/ttv-boxart/./Super%20Mario%20World%202:%20Yoshi%27s%20Island-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","315","36360","115","139","3","0.571428","188","35.809523"
