"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","Mafia.gg|Mafia.gg|https://static-cdn.jtvnw.net/ttv-boxart/Mafia.gg-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","34410","27415875","794","1372","-122","-0.212728","880919","1536.040104"
"2","Super Mario Maker 2|Super_Mario_Maker_2|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Maker%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","21555","30023745","1279","2842","3412","9.497564","580304","1615.320807"
"3","The Legend of Zelda: Ocarina of Time|The_Legend_of_Zelda_Ocarina_of_Time|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Ocarina%20of%20Time-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","18930","18295800","924","2398","1141","3.616481","440329","1395.654516"
"4","Pokémon Stadium 2|Pokemon_Stadium_2|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Stadium%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","11850","18459720","1501","2332","357","1.807594","350732","1775.858227"
"5","Pokémon Sword/Shield|Pokemon_for_Nintendo_Switch_Working_Title_|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Sword/Shield-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","7665","9027120","1049","1829","1419","11.107632","303585","2376.399217"
"6","Fire Emblem: Radiant Dawn|Fire_Emblem_Radiant_Dawn|https://static-cdn.jtvnw.net/ttv-boxart/./Fire%20Emblem:%20Radiant%20Dawn-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4335","3487905","803","1120","17","0.235294","119262","1650.685121"
"7","World of Warcraft|World_of_Warcraft|https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Warcraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3600","2767320","756","1330","429","7.15","105295","1754.916666"
"8","Mario Party 3|Mario_Party_3|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Party%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2670","4001310","1465","3318","210","4.719101","112386","2525.528089"
"9","Tales of Symphonia|Tales_of_Symphonia|https://static-cdn.jtvnw.net/ttv-boxart/Tales%20of%20Symphonia-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2610","1913430","759","1178","78","1.793103","44688","1027.310344"
"10","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2595","2105460","843","1842","97","2.242774","66267","1532.184971"
"11","Pokémon FireRed/LeafGreen|Pokemon_FireRed_LeafGreen|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20FireRed/LeafGreen-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2595","2534955","924","1401","96","2.219653","68990","1595.144508"
"12","Super Mario Maker|Super_Mario_Maker|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Maker-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2370","2245920","877","1797","189","4.78481","45181","1143.822784"
"13","Pokémon Trading Card Game|Pokemon_Trading_Card_Game|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Trading%20Card%20Game-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2355","2580795","964","1832","164","4.178343","71154","1812.840764"
"14","Donkey Kong 64|Donkey_Kong_64|https://static-cdn.jtvnw.net/ttv-boxart/Donkey%20Kong%2064-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2220","3053490","1306","1972","198","5.351351","53369","1442.405405"
"15","Pokémon Stadium|Pokemon_Stadium|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Stadium-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2055","2865180","1166","1960","100","2.919708","48442","1414.364963"
"16","NieR: Automata|NieR_Automata|https://static-cdn.jtvnw.net/ttv-boxart/./NieR:%20Automata-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1950","1173990","591","837","5","0.153846","43792","1347.446153"
"17","Yu-Gi-Oh! Forbidden Memories|Yu-Gi-Oh_Forbidden_Memories|https://static-cdn.jtvnw.net/ttv-boxart/Yu-Gi-Oh%21%20Forbidden%20Memories-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1935","1756650","831","1686","77","2.387596","32843","1018.387596"
