"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"18","Old School RuneScape|Old_School_RuneScape|https://static-cdn.jtvnw.net/ttv-boxart/Old%20School%20RuneScape-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1920","1070385","560","1239","7","0.21875","55276","1727.375"
"19","Winnie the Pooh's Home Run Derby!|Winnie_the_Poohs_Home_Run_Derby_|https://static-cdn.jtvnw.net/ttv-boxart/Winnie%20the%20Pooh%27s%20Home%20Run%20Derby%21-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1890","1216935","626","1181","7","0.222222","64838","2058.349206"
"20","Mother 3|Mother_3|https://static-cdn.jtvnw.net/ttv-boxart/Mother%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1815","1913190","1034","1547","54","1.785123","43187","1427.669421"
"21","Kingdom Hearts II|Kingdom_Hearts_II|https://static-cdn.jtvnw.net/ttv-boxart/Kingdom%20Hearts%20II-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1725","1408335","828","1143","-18","-0.626086","25667","892.765217"
"22","Paper Mario|Paper_Mario|https://static-cdn.jtvnw.net/ttv-boxart/Paper%20Mario-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1470","1269000","794","1557","38","1.55102","35007","1428.857142"
"23","The Lord of the Rings Online|The_Lord_of_the_Rings_Online|https://static-cdn.jtvnw.net/ttv-boxart/The%20Lord%20of%20the%20Rings%20Online-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1440","658635","445","707","27","1.125","33523","1396.791666"
"24","Super Smash Bros. Ultimate|Nintendo_Switch_Super_Smash_Bros._working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Smash%20Bros.%20Ultimate-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1350","1120305","765","1418","96","4.266666","25154","1117.955555"
"25","Dark Souls|Dark_Souls|https://static-cdn.jtvnw.net/ttv-boxart/Dark%20Souls-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1350","1131975","892","1800","59","2.622222","29652","1317.866666"
"26","Resident Evil 4|Resident_Evil_4|https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil%204-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1230","1286865","1039","1639","22","1.07317","29266","1427.609756"
"27","Catherine|Catherine|https://static-cdn.jtvnw.net/ttv-boxart/Catherine-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1200","1336455","1118","1539","75","3.75","25404","1270.2"
"28","Super Mario RPG: Legend of the Seven Stars|Super_Mario_RPG_Legend_of_the_Seven_Stars|https://static-cdn.jtvnw.net/ttv-boxart/./Super%20Mario%20RPG:%20Legend%20of%20the%20Seven%20Stars-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1185","1347630","1090","1688","68","3.443037","25098","1270.78481"
"29","Star Fox Adventures|Star_Fox_Adventures|https://static-cdn.jtvnw.net/ttv-boxart/Star%20Fox%20Adventures-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1140","927780","760","1266","10","0.526315","19963","1050.68421"
"30","Professor Layton and the Miracle Mask|Professor_Layton_and_the_Miracle_Mask|https://static-cdn.jtvnw.net/ttv-boxart/Professor%20Layton%20and%20the%20Miracle%20Mask-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1095","779625","703","1008","8","0.438356","21384","1171.726027"
"31","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1065","634830","666","1213","-7","-0.394366","16110","907.605633"
"32","Pokémon Emerald|Pokemon_Emerald|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Emerald-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1005","1098720","1073","1409","-2","-0.119402","8653","516.597014"
"33","Hotel Dusk: Room 215|Hotel_Dusk_Room_215|https://static-cdn.jtvnw.net/ttv-boxart/./Hotel%20Dusk:%20Room%20215-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1005","686460","681","997","-6","-0.358208","12072","720.716417"
"34","Resident Evil 2|Resident_Evil_2_Remake_working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","975","604815","605","827","61","3.753846","13140","808.615384"
"35","Pokémon HeartGold/SoulSilver|Pokemon_HeartGold_SoulSilver|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20HeartGold/SoulSilver-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","975","897855","907","1354","36","2.215384","19353","1190.953846"
"36","The Elder Scrolls V: Skyrim|The_Elder_Scrolls_V_Skyrim|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Elder%20Scrolls%20V:%20Skyrim-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","945","899775","961","1145","48","3.047619","21903","1390.666666"
"37","Tetris|Tetris|https://static-cdn.jtvnw.net/ttv-boxart/Tetris-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","945","750165","833","1118","45","2.857142","17119","1086.920634"
"38","Super Mario 3D World|Super_Mario_3D_World|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%203D%20World-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","870","978045","1039","1363","13","0.896551","30641","2113.172413"
"39","Ys: The Oath in Felghana|Ys_The_Oath_in_Felghana|https://static-cdn.jtvnw.net/ttv-boxart/./Ys:%20The%20Oath%20in%20Felghana-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","855","479370","565","713","30","2.105263","20109","1411.157894"
"40","Risk II|Risk_II|https://static-cdn.jtvnw.net/ttv-boxart/Risk%20II-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","825","746505","896","1335","17","1.236363","18179","1322.10909"
"41","The Legend of Zelda: Majora's Mask|The_Legend_of_Zelda_Majoras_Mask|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Majora%27s%20Mask-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","765","1199790","1530","1904","279","21.882352","18358","1439.843137"
"42","Wargroove|WarGroove|https://static-cdn.jtvnw.net/ttv-boxart/Wargroove-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","765","403245","532","838","34","2.666666","10506","824"
"43","Getting Over It with Bennett Foddy|Getting_Over_It|https://static-cdn.jtvnw.net/ttv-boxart/Getting%20Over%20It%20with%20Bennett%20Foddy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","720","747150","1031","1503","11","0.916666","15041","1253.416666"
"44","Bingo|Bingo|https://static-cdn.jtvnw.net/ttv-boxart/Bingo-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","705","261735","330","669","14","1.191489","12647","1076.340425"
"45","F-Zero GX|F-Zero_GX|https://static-cdn.jtvnw.net/ttv-boxart/F-Zero%20GX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","675","735720","892","1423","39","3.466666","16750","1488.888888"
"46","Castlevania: Legacy of Darkness|Castlevania_Legacy_of_Darkness|https://static-cdn.jtvnw.net/ttv-boxart/./Castlevania:%20Legacy%20of%20Darkness-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","645","772110","1072","1627","55","5.116279","17898","1664.930232"
"47","Mario Kart 8|Mario_Kart_8|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Kart%208-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","645","593790","864","1542","16","1.488372","9239","859.44186"
"48","Monkey Island 2: LeChuck's Revenge|Monkey_Island_2__LeChucks_Revenge|https://static-cdn.jtvnw.net/ttv-boxart/./Monkey%20Island%202:%20LeChuck%27s%20Revenge-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","630","519840","847","1120","-9","-0.857142","12380","1179.047619"
"49","Captain Toad: Treasure Tracker|Captain_Toad_Treasure_Tracker|https://static-cdn.jtvnw.net/ttv-boxart/./Captain%20Toad:%20Treasure%20Tracker-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","615","925830","1556","2114","57","5.560975","12956","1264"
"50","The Jackbox Party Pack 6|The_Jackbox_Party_Pack_6|https://static-cdn.jtvnw.net/ttv-boxart/The%20Jackbox%20Party%20Pack%206-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","615","565935","937","1323","6","0.585365","11675","1139.02439"
