"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","Super Mario Odyssey|Super_Mario_Switch_working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Odyssey-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","15480","11850600","700","3646","2751","10.66279","174696","677.116279"
"2","Kingdom Hearts HD 1.5 + 2.5 ReMIX|Kingdom_Hearts_HD_I.5_plus_II.5_Remix|https://static-cdn.jtvnw.net/ttv-boxart/Kingdom%20Hearts%20HD%201.5%20+%202.5%20ReMIX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","15375","6925935","431","1246","1654","6.454634","111350","434.536585"
"3","Crash Bandicoot N. Sane Trilogy|Crash_Bandicoot_N._Sane_Trilogy|https://static-cdn.jtvnw.net/ttv-boxart/Crash%20Bandicoot%20N.%20Sane%20Trilogy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","13350","8870865","643","1322","14473","65.047191","117145","526.494382"
"4","Super Mario Galaxy|Super_Mario_Galaxy|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Galaxy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","6255","3547320","507","1460","1886","18.091127","94266","904.230215"
"5","Super Mario 64|Super_Mario_64|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%2064-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","5370","2766555","507","1840","1381","15.430167","61351","685.486033"
"6","Donkey Kong Country|Donkey_Kong_Country|https://static-cdn.jtvnw.net/ttv-boxart/Donkey%20Kong%20Country-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4215","1880880","391","961","827","11.772241","32097","456.896797"
"7","Super Mario Galaxy 2|Super_Mario_Galaxy_2|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Galaxy%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3390","2637135","644","2394","641","11.345132","87808","1554.123893"
"8","The Legend of Zelda: Breath of the Wild|The_Legend_of_Zelda_Breath_Of_The_Wild|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Breath%20of%20the%20Wild-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2715","1329090","503","2375","202","4.464088","54329","1200.640883"
"9","Super Mario Sunshine|Super_Mario_Sunshine|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Sunshine-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2535","1581735","617","1748","407","9.633136","49382","1168.804733"
"10","Chrono Cross|Chrono_Cross|https://static-cdn.jtvnw.net/ttv-boxart/Chrono%20Cross-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2520","893325","349","661","126","3","17123","407.690476"
"11","Yu-Gi-Oh! Forbidden Memories|Yu-Gi-Oh_Forbidden_Memories|https://static-cdn.jtvnw.net/ttv-boxart/Yu-Gi-Oh%21%20Forbidden%20Memories-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2460","1526985","517","1112","255","6.219512","21937","535.04878"
"12","Final Fantasy IX|Final_Fantasy_IX|https://static-cdn.jtvnw.net/ttv-boxart/Final%20Fantasy%20IX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2445","1525830","584","1190","472","11.582822","19671","482.723926"
"13","Final Fantasy VII|Final_Fantasy_VII|https://static-cdn.jtvnw.net/ttv-boxart/Final%20Fantasy%20VII-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2340","1020240","413","813","106","2.717948","10074","258.307692"
"14","Sonic Mania|Sonic_Mania|https://static-cdn.jtvnw.net/ttv-boxart/Sonic%20Mania-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1950","823695","422","726","977","30.061538","14096","433.723076"
"15","Paper Mario: The Thousand-Year Door|Paper_Mario_The_Thousand-Year_Door|https://static-cdn.jtvnw.net/ttv-boxart/./Paper%20Mario:%20The%20Thousand-Year%20Door-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1860","901170","481","725","803","25.903225","13949","449.967741"
"16","Mario Party 3|Mario_Party_3|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Party%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1620","1644690","742","2227","405","15","48361","1791.148148"
"17","Paper Mario|Paper_Mario|https://static-cdn.jtvnw.net/ttv-boxart/Paper%20Mario-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1245","528000","409","676","39","1.879518","6480","312.289156"
"18","Kingdom Hearts HD 2.5 ReMIX|Kingdom_Hearts_HD_II.5_Remix|https://static-cdn.jtvnw.net/ttv-boxart/Kingdom%20Hearts%20HD%202.5%20ReMIX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1020","870570","830","1368","214","12.588235","8827","519.235294"
"19","The Legend of Zelda: A Link to the Past|The_Legend_of_Zelda_A_Link_to_the_Past|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20A%20Link%20to%20the%20Past-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","915","648885","560","1076","114","7.475409","9134","598.950819"
"20","The Legend of Zelda: Skyward Sword|The_Legend_of_Zelda_Skyward_Sword|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Skyward%20Sword-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","900","595365","658","863","64","4.266666","6597","439.8"
"21","Rayman|Rayman|https://static-cdn.jtvnw.net/ttv-boxart/Rayman-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","900","398130","422","737","61","4.066666","16295","1086.333333"
"22","Rayman 3: Hoodlum Havoc|Rayman_3_Hoodlum_Havoc|https://static-cdn.jtvnw.net/ttv-boxart/./Rayman%203:%20Hoodlum%20Havoc-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","855","373890","395","847","35","2.45614","19398","1361.263157"
"23","Talk Shows & Podcasts|Gaming_Talk_Shows|https://static-cdn.jtvnw.net/ttv-boxart/Talk%20Shows%20&%20Podcasts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","855","324450","391","796","33","2.315789","4588","321.964912"
"24","Super Mario 64 DS|Super_Mario_64_DS|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%2064%20DS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","840","514980","530","908","74","5.285714","6700","478.571428"
"25","Super Meat Boy|Super_Meat_Boy|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Meat%20Boy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","795","493860","496","1048","109","8.226415","5460","412.075471"
