"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","The Legend of Zelda: Ocarina of Time|The_Legend_of_Zelda_Ocarina_of_Time|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Ocarina%20of%20Time-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","32940","41324340","1107","2343","3740","6.812386","512659","933.8051"
"2","Yu-Gi-Oh! Forbidden Memories|Yu-Gi-Oh_Forbidden_Memories|https://static-cdn.jtvnw.net/ttv-boxart/Yu-Gi-Oh%21%20Forbidden%20Memories-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","17160","18789540","1029","2111","1750","6.118881","265236","927.398601"
"3","Mafia LIVE!|Mafia_LIVE_|https://static-cdn.jtvnw.net/ttv-boxart/Mafia%20LIVE%21-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","16230","12411690","721","1655","3952","14.609981","359076","1327.452865"
"4","Super Smash Bros. Ultimate|Nintendo_Switch_Super_Smash_Bros._working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Smash%20Bros.%20Ultimate-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","9315","7254885","769","1923","601","3.871175","164851","1061.84219"
"5","Paper Mario|Paper_Mario|https://static-cdn.jtvnw.net/ttv-boxart/Paper%20Mario-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","7950","7426470","883","1534","758","5.720754","120183","907.041509"
"6","Persona 5|Persona_5|https://static-cdn.jtvnw.net/ttv-boxart/Persona%205-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","6480","7189170","1051","1812","299","2.768518","110942","1027.24074"
"7","Mafia.gg|Mafia.gg|https://static-cdn.jtvnw.net/ttv-boxart/Mafia.gg-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4770","3679155","794","1528","110","1.383647","87166","1096.427672"
"8","Old School RuneScape|Old_School_RuneScape|https://static-cdn.jtvnw.net/ttv-boxart/Old%20School%20RuneScape-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4245","2742960","635","1046","235","3.321554","67856","959.095406"
"9","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3945","2165235","576","1140","209","3.178707","55844","849.338403"
"10","Fire Emblem: The Binding Blade|Fire_Emblem_Fuuin_no_Tsurugi|https://static-cdn.jtvnw.net/ttv-boxart/./Fire%20Emblem:%20The%20Binding%20Blade-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3405","2498100","727","1532","82","1.444933","30318","534.237885"
"11","Donkey Kong 64|Donkey_Kong_64|https://static-cdn.jtvnw.net/ttv-boxart/Donkey%20Kong%2064-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3045","3505020","1062","1881","306","6.029556","58000","1142.857142"
"12","Mario Party 3|Mario_Party_3|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Party%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2535","3138660","938","1839","179","4.236686","37746","893.396449"
"13","Overwatch|Overwatch|https://static-cdn.jtvnw.net/ttv-boxart/Overwatch-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2400","1347855","539","892","152","3.8","41419","1035.475"
"14","RuneScape|RuneScape|https://static-cdn.jtvnw.net/ttv-boxart/RuneScape-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2385","1475640","616","971","129","3.245283","15547","391.119496"
"15","Yakuza 0|Ryū_ga_Gotoku_Zero|https://static-cdn.jtvnw.net/ttv-boxart/Yakuza%200-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2355","1559400","656","1295","34","0.866242","33994","866.089171"
"16","Super Mario 64|Super_Mario_64|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%2064-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2265","2965365","1292","3488","413","10.940397","121425","3216.556291"
"17","Fire Emblem: Path of Radiance|Fire_Emblem_Path_of_Radiance|https://static-cdn.jtvnw.net/ttv-boxart/./Fire%20Emblem:%20Path%20of%20Radiance-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2175","1663770","759","1050","43","1.186206","30781","849.131034"
"18","Mario Party|Mario_Party|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Party-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1755","2112660","1270","5606","341","11.658119","103210","3528.547008"
"19","Bloodborne|Bloodborne|https://static-cdn.jtvnw.net/ttv-boxart/Bloodborne-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1710","1384080","758","1177","62","2.175438","41171","1444.596491"
"20","Super Mario RPG: Legend of the Seven Stars|Super_Mario_RPG_Legend_of_the_Seven_Stars|https://static-cdn.jtvnw.net/ttv-boxart/./Super%20Mario%20RPG:%20Legend%20of%20the%20Seven%20Stars-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1695","2300700","1268","3883","188","6.654867","88159","3120.672566"
"21","Risk II|Risk_II|https://static-cdn.jtvnw.net/ttv-boxart/Risk%20II-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1620","1152375","680","1277","47","1.74074","21285","788.333333"
"22","Pokémon Crystal|Pokemon_Crystal|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Crystal-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1560","1361100","821","1249","204","7.846153","24010","923.461538"
"23","FINAL FANTASY XIV Online|Final_Fantasy_XIV_Online_A_Realm_Reborn|https://static-cdn.jtvnw.net/ttv-boxart/FINAL%20FANTASY%20XIV%20Online-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1545","1273515","830","1295","162","6.291262","41176","1599.067961"
"24","Xenoblade Chronicles 2|Xenoblade_Chronicles_2|https://static-cdn.jtvnw.net/ttv-boxart/Xenoblade%20Chronicles%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1455","853215","639","1116","33","1.360824","36646","1511.175257"
"25","Super Mario Maker|Super_Mario_Maker|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Maker-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1200","1084605","900","1364","69","3.45","16284","814.2"
"26","Mario Party 2|Mario_Party_2|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Party%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1200","1723680","1350","2166","120","6","28774","1438.7"
