"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","Pokémon Sword/Shield|Pokemon_for_Nintendo_Switch_Working_Title_|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Sword/Shield-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","31260","34958985","1077","1848","2220","4.261036","376678","722.990403"
"2","Mafia.gg|Mafia.gg|https://static-cdn.jtvnw.net/ttv-boxart/Mafia.gg-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","22215","18139170","821","1415","-412","-1.112761","282058","761.804186"
"3","Call of Duty: Warzone|Call_of_Duty_Modern_Warfare|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Warzone-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","14895","9781245","665","1608","-122","-0.49144","250504","1009.079556"
"4","The Legend of Zelda: Ocarina of Time|The_Legend_of_Zelda_Ocarina_of_Time|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Ocarina%20of%20Time-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","12630","11848965","909","1775","117","0.555819","306548","1456.285035"
"5","Pokémon HeartGold/SoulSilver|Pokemon_HeartGold_SoulSilver|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20HeartGold/SoulSilver-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","10950","14358150","1166","2514","2666","14.608219","117712","644.99726"
"6","Super Mario 64|Super_Mario_64|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%2064-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","6045","6124455","939","2033","274","2.719602","80926","803.235732"
"7","Old School RuneScape|Old_School_RuneScape|https://static-cdn.jtvnw.net/ttv-boxart/Old%20School%20RuneScape-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","5670","4704420","773","1458","39","0.412698","49543","524.26455"
"8","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","5130","5669715","1116","1743","86","1.005847","57419","671.567251"
"9","Bingo|Bingo|https://static-cdn.jtvnw.net/ttv-boxart/Bingo-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","5070","3512505","669","1896","-138","-1.633136","91964","1088.33136"
"10","La-Mulana|La-Mulana|https://static-cdn.jtvnw.net/ttv-boxart/La-Mulana-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4845","4286475","869","1242","-85","-1.052631","105935","1311.888544"
