"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","Xenoblade Chronicles X|Xenoblade_Chronicles_X|https://static-cdn.jtvnw.net/ttv-boxart/Xenoblade%20Chronicles%20X-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","630","431505","557","1097","43","4.095238","1288","122.666666"
"2","Xenoblade Chronicles|Xenoblade_Chronicles|https://static-cdn.jtvnw.net/ttv-boxart/Xenoblade%20Chronicles-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3255","2094180","725","1401","87","1.603686","9306","171.53917"
"3","Undertale|Undertale|https://static-cdn.jtvnw.net/ttv-boxart/Undertale-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","930","761835","786","1153","38","2.451612","1453","93.741935"
"4","The Walking Dead: Season One|The_Walking_Dead|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Walking%20Dead:%20Season%20One-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","825","605355","769","1450","47","3.418181","1219","88.654545"
"5","The Legend of Zelda: Ocarina of Time / Master Quest|The_Legend_of_Zelda_Ocarina_of_Time__Master_Quest|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Ocarina%20of%20Time%20/%20Master%20Quest-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1065","722955","582","778","37","2.084507","2306","129.915492"
"6","The Legend of Zelda: Ocarina of Time|The_Legend_of_Zelda_Ocarina_of_Time|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Ocarina%20of%20Time-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","510","432075","834","986","49","5.764705","1424","167.529411"
"7","The Legend of Zelda: Link's Awakening DX|The_Legend_of_Zelda_Links_Awakening_DX|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Link%27s%20Awakening%20DX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","540","356910","583","1068","-5","-0.555555","663","73.666666"
"8","The Game Awards 2015|The_Game_Awards_2015|https://static-cdn.jtvnw.net/ttv-boxart/The%20Game%20Awards%202015-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","60","37290","621","664","2","2","232","232"
"9","Superman|Superman|https://static-cdn.jtvnw.net/ttv-boxart/Superman-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","150","74595","450","616","3","1.2","180","72"
"10","Super Mario RPG: Legend of the Seven Stars|Super_Mario_RPG_Legend_of_the_Seven_Stars|https://static-cdn.jtvnw.net/ttv-boxart/./Super%20Mario%20RPG:%20Legend%20of%20the%20Seven%20Stars-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3000","1545435","459","1309","152","3.04","5407","108.14"
"11","Super Mario Maker|Super_Mario_Maker|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Maker-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","23610","47504295","1815","7795","16101","40.917407","445302","1131.644218"
"12","Super Mario Galaxy|Super_Mario_Galaxy|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Galaxy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","225","237150","1054","1173","16","4.266666","1231","328.266666"
"13","Super Mario All-Stars|Super_Mario_All-Stars|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20All-Stars-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","645","726750","1168","1406","41","3.813953","1771","164.744186"
"14","Star Wars: Battlefront|Star_Wars_Battlefront|https://static-cdn.jtvnw.net/ttv-boxart/./Star%20Wars:%20Battlefront-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","135","40470","299","330","-1","-0.444444","181","80.444444"
"15","RuneScape|RuneScape|https://static-cdn.jtvnw.net/ttv-boxart/RuneScape-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","8670","5951850","751","2808","619","4.283737","25582","177.038062"
"16","Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","105","20745","197","231","1","0.571428","139","79.428571"
"17","Resident Evil|Resident_Evil|https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1305","941445","855","1748","16","0.735632","5333","245.195402"
"18","Putt-Putt Travels Through Time|Putt-Putt_Travels_Through_Time|https://static-cdn.jtvnw.net/ttv-boxart/Putt-Putt%20Travels%20Through%20Time-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","90","128325","1425","1647","12","8","540","360"
"19","Putt-Putt Saves The Zoo|Putt-Putt_Saves_the_Zoo|https://static-cdn.jtvnw.net/ttv-boxart/Putt-Putt%20Saves%20The%20Zoo-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","60","164970","2749","3313","35","35","913","913"
"20","Putt-Putt Joins The Circus|Putt-Putt_Joins_the_Circus|https://static-cdn.jtvnw.net/ttv-boxart/Putt-Putt%20Joins%20The%20Circus-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","90","179730","1997","2500","8","5.333333","1699","1132.666666"
"21","Putt-Putt Goes To The Moon|Putt-Putt_Goes_to_the_Moon|https://static-cdn.jtvnw.net/ttv-boxart/Putt-Putt%20Goes%20To%20The%20Moon-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","45","98295","2184","2223","1","1.333333","262","349.333333"
"22","Portal 2|Portal_2|https://static-cdn.jtvnw.net/ttv-boxart/Portal%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","405","215790","532","598","3","0.444444","308","45.629629"
"23","Pokémon Emerald|Pokemon_Emerald|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Emerald-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","270","146550","542","618","0","0","465","103.333333"
"24","Pokémon Crystal|Pokemon_Crystal|https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Crystal-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","405","246915","440","853","2","0.296296","665","98.518518"
"25","Phoenix Wright: Ace Attorney − Trials and Tribulations|Phoenix_Wright_Ace_Attorney_-_Trials_and_Tribulations|https://static-cdn.jtvnw.net/ttv-boxart/./Phoenix%20Wright:%20Ace%20Attorney%20%E2%88%92%20Trials%20and%20Tribulations-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2250","1768860","785","1218","-22","-0.586666","5720","152.533333"
"26","Phoenix Wright: Ace Attorney − Justice for All|Phoenix_Wright_Ace_Attorney_-_Justice_For_All|https://static-cdn.jtvnw.net/ttv-boxart/./Phoenix%20Wright:%20Ace%20Attorney%20%E2%88%92%20Justice%20for%20All-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2130","1584300","751","1133","73","2.056338","6158","173.464788"
"27","Phoenix Wright: Ace Attorney|Phoenix_Wright_Ace_Attorney|https://static-cdn.jtvnw.net/ttv-boxart/./Phoenix%20Wright:%20Ace%20Attorney-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2115","1355895","566","1218","104","2.950354","3833","108.737588"
"28","Paper Mario|Paper_Mario|https://static-cdn.jtvnw.net/ttv-boxart/Paper%20Mario-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2700","1854225","731","1493","225","5","8620","191.555555"
"29","MoneyMania|MoneyMania|https://static-cdn.jtvnw.net/ttv-boxart/MoneyMania-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","15","4365","291","291","0","0","91","364"
"30","Meme Run|Meme_Run|https://static-cdn.jtvnw.net/ttv-boxart/Meme%20Run-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","75","5640","75","112","-1","-0.8","101","80.8"
"31","Mario Party 6|Mario_Party_6|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Party%206-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","120","66720","556","768","-2","-1","132","66"
"32","Mario & Luigi: Superstar Saga|Mario_and_Luigi_Superstar_Saga|https://static-cdn.jtvnw.net/ttv-boxart/./Mario%20&%20Luigi:%20Superstar%20Saga-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1155","598635","501","680","80","4.155844","2581","134.077922"
"33","Marble Blast Gold|Marble_Blast|https://static-cdn.jtvnw.net/ttv-boxart/Marble%20Blast%20Gold-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","105","26430","251","294","-3","-1.714285","93","53.142857"
"34","Lifeline|Lifeline|https://static-cdn.jtvnw.net/ttv-boxart/Lifeline-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1140","1111590","975","1251","193","10.157894","5079","267.315789"
"35","Keep Talking and Nobody Explodes|Keep_Talking_and_Nobody_Explodes|https://static-cdn.jtvnw.net/ttv-boxart/Keep%20Talking%20and%20Nobody%20Explodes-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","360","474330","1317","2139","82","13.666666","1111","185.166666"
"36","Five Nights at Freddy's 4|Five_Nights_at_Freddys_4_The_Final_Chapter|https://static-cdn.jtvnw.net/ttv-boxart/Five%20Nights%20at%20Freddy%27s%204-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","75","47265","630","787","0","0","338","270.4"
"37","Dark Souls|Dark_Souls|https://static-cdn.jtvnw.net/ttv-boxart/Dark%20Souls-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","3600","2223960","565","941","314","5.233333","12515","208.583333"
"38","Creative|Creative|https://static-cdn.jtvnw.net/ttv-boxart/Creative-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","855","218010","245","460","27","1.894736","1501","105.333333"
"39","Chip's Challenge 2|Chips_Challenge_2|https://static-cdn.jtvnw.net/ttv-boxart/Chip%27s%20Challenge%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1035","359790","342","667","-17","-0.985507","1345","77.971014"
"40","Buried Buck$|Buried_Buck_|https://static-cdn.jtvnw.net/ttv-boxart/Buried%20Buck$-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","435","326655","750","879","-5","-0.689655","506","69.793103"
"41","Apollo Justice: Ace Attorney|Apollo_Justice_Ace_Attorney|https://static-cdn.jtvnw.net/ttv-boxart/./Apollo%20Justice:%20Ace%20Attorney-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1830","1283985","701","970","-28","-0.918032","1696","55.606557"
"42","Adventure Island|Adventure_Island|https://static-cdn.jtvnw.net/ttv-boxart/Adventure%20Island-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","660","509385","771","1082","30","2.727272","2490","226.363636"
"43","Advance Wars 2: Black Hole Rising|Advance_Wars_2_Black_Hole_Rising|https://static-cdn.jtvnw.net/ttv-boxart/./Advance%20Wars%202:%20Black%20Hole%20Rising-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","195","52140","267","325","1","0.307692","170","52.307692"
"44","Ace Attorney Investigations: Miles Edgeworth|Ace_Attorney_Investigations_Miles_Edgeworth|https://static-cdn.jtvnw.net/ttv-boxart/./Ace%20Attorney%20Investigations:%20Miles%20Edgeworth-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","810","467640","573","719","-13","-0.962962","1311","97.111111"
